,area,major_length,perimeter,euler_number,extent,convex_area_percent,blue_mean,green_mean,red_mean,nir_mean,blue_std,green_std,red_std,nir_std,blue_max,green_max,red_max,nir_max,blue_min,green_min,red_min,nir_min,ndvi_mean,ndvi_std,ndvi_max,ndvi_min,ndwi_mean,ndwi_std,ndwi_max,ndwi_min,glcm_mean_meant,glcm_mean_std,glcm_mean_max,glcm_mean_min,classfiterLabel
9,919.0,36.00816377809149,115.31370849898475,1.0,0.9572916666666667,928.0,307.99020674646357,362.7399347116431,313.99020674646357,307.99020674646357,28.08189701570714,48.4588025379548,44.52015855545373,28.08189701570714,394.0,506.0,495.0,394.0,222.0,244.0,196.0,222.0,0.6863221301536171,0.06867766647240739,0.8151765589782118,0.5373333333333333,-0.6487039272298812,0.059815852389343956,-0.5052219321148825,-0.759497645211931,2.333681344985962,0.7004759907722473,3.7551021575927734,1.0,0.0
17,953.0,39.82853308355463,134.6274169979695,1.0,0.700735294117647,1096.0,845.3882476390346,1293.4071353620147,2404.158447009444,845.3882476390346,108.94259657138808,142.19045661079105,206.96331136282097,108.94259657138808,1300.0,1869.0,2716.0,1300.0,683.0,943.0,1613.0,683.0,0.15189157213188137,0.01616582257336826,0.20371151412905947,0.0728066982162359,-0.4322199534009277,0.04585459414103157,-0.23838630806845965,-0.4811791383219955,4.784632682800293,0.35802486538887024,5.040816307067871,3.5306122303009033,0.0
28,764.0,45.96821501128082,123.74011537017762,1.0,0.5787878787878787,912.0,626.8507853403141,717.2198952879581,870.9384816753927,626.8507853403141,125.14219655264958,158.05772628941494,211.26241129202285,125.14219655264958,1175.0,1419.0,1558.0,1175.0,450.0,536.0,601.0,450.0,0.23322550708637393,0.05605195074270803,0.33583288698446706,0.07795275590551182,-0.31958877423842347,0.06592456415007068,-0.1031837360951285,-0.41543953592146365,1.7297788858413696,0.46024659276008606,3.0,1.0,0.0
70,790.0,45.11812291390338,128.7401153701776,1.0,0.5486111111111112,944.0,954.9278481012658,1305.7379746835443,1969.667088607595,954.9278481012658,180.34622429340826,206.36282034614314,386.5816032941142,180.34622429340826,1360.0,1746.0,2819.0,1360.0,618.0,871.0,1291.0,618.0,0.1983216988543243,0.04302312550680364,0.2804209603157202,0.09709751513885989,-0.382197075633604,0.04472059269922904,-0.28461208744106303,-0.4601613220539052,4.163885116577148,0.5806183218955994,5.81632661819458,3.2040815353393555,0.0
90,1225.0,45.482412893151135,142.07716446627535,1.0,0.8536585365853658,1333.0,2407.686530612245,1548.3444897959184,1166.8857142857144,2407.686530612245,224.06659656478612,104.19672377358059,62.91189822899568,224.06659656478612,2860.0,1796.0,1452.0,2860.0,1648.0,1171.0,997.0,1648.0,0.39590324654767906,0.019000347777112323,0.4235203689469639,0.27815063385533184,-0.27095478656462363,0.018049861329192424,-0.1975598310652276,-0.3509933774834437,3.9067223072052,0.22872616350650787,4.285714149475098,2.673469305038452,1.0
121,592.0,30.53383385681825,107.73401871576772,1.0,0.7175757575757575,734.0,1344.125,1785.2263513513512,2104.7297297297296,1344.125,199.9331000863417,281.06773874826996,360.3094877379459,199.9331000863417,1553.0,2108.0,2498.0,1553.0,816.0,1058.0,1168.0,816.0,0.17881772596904977,0.05298259484899645,0.35667174023338405,0.10294666169339799,-0.2555266130141558,0.05086588126234998,-0.18511569731081925,-0.4180159635119726,4.339871883392334,0.45557206869125366,4.959183692932129,3.1224489212036133,0.0
133,739.0,33.91567170942077,109.9350288425444,1.0,0.8553240740740741,787.0,380.55209742895806,441.3071718538566,437.56292286874157,380.55209742895806,61.957717742728924,90.2552482701705,132.69631115201088,61.957717742728924,511.0,650.0,763.0,511.0,254.0,323.0,258.0,254.0,0.5187404454986438,0.0692390980900044,0.7704280155642024,0.41599661447312736,-0.5095588864729325,0.04894226038621768,-0.4668351231838282,-0.7085993240705971,1.517301321029663,0.46945056319236755,3.1224491596221924,1.0,0.0
159,1359.0,46.9111128783733,151.14823227814082,1.0,0.8084473527662106,1474.0,2626.003679175865,1700.290654893304,1312.9749816041208,2626.003679175865,260.55836204315875,227.73472909698677,259.33364424153626,260.55836204315875,2998.0,2818.0,2808.0,2998.0,1643.0,1062.0,909.0,1643.0,0.3753421474947409,0.04145319778207608,0.41067285382830626,0.12378688849277085,-0.25704286656853936,0.021814668461511727,-0.16485321289262986,-0.3236835537808834,3.9767837524414062,0.22637692093849182,4.918367385864258,2.8367347717285156,1.0
161,1505.0,52.706612459262516,198.92997820866105,1.0,0.4413489736070381,1961.0,1893.5674418604651,1126.9461794019933,929.4106312292358,1893.5674418604651,408.4790469905807,224.45185003412627,376.91143352807205,408.4790469905807,2255.0,1970.0,2094.0,2255.0,716.0,683.0,517.0,716.0,0.45461659355373096,0.11566993324643143,0.5609919571045576,0.140893470790378,-0.3601171309817695,0.04563240436673518,-0.1962962962962963,-0.4947305028605842,3.126544237136841,0.3671145737171173,4.3469390869140625,2.0612244606018066,1.0
344,834.0,44.66233466441171,154.1959594928933,1.0,0.5295238095238095,1210.0,1130.8932853717026,1349.7961630695443,1472.3213429256596,1130.8932853717026,224.19057043814084,306.97132195575466,341.50682793363717,224.19057043814084,1664.0,2034.0,2302.0,1664.0,605.0,746.0,805.0,605.0,0.25040324264598407,0.07330513892656522,0.43495038588754137,0.0667989417989418,-0.2907973604781663,0.05774791242924925,-0.13872220261207202,-0.44934445768772346,3.411099672317505,0.6770985126495361,5.0,2.0,0.0
